,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
331,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,40,85,15,0.29,1,119
332,Pankow,Prenzlauer Berg Süd,Entire home/apt,64,2,57,0.77,2,0
333,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,55,90,109,1.32,4,108
334,Pankow,Prenzlauer Berg Süd,Entire home/apt,66,3,66,0.98,2,0
335,Pankow,Prenzlauer Berg Süd,Private room,66,2,31,0.4,1,343
336,Pankow,Prenzlauer Berg Nordwest,Private room,37,2,161,1.98,1,118
337,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,69,3,201,2.51,1,312
338,Mitte,Regierungsviertel,Private room,60,2,97,1.18,3,108
339,Pankow,Helmholtzplatz,Entire home/apt,165,4,162,2.01,2,268
340,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,70,4,3,0.11,1,0
341,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,38,45,35,0.46,1,177
342,Mitte,Brunnenstr. Süd,Entire home/apt,69,2,8,0.16,1,0
343,Mitte,Wedding Zentrum,Private room,35,2,8,0.26,2,121
344,Pankow,Prenzlauer Berg Süd,Entire home/apt,65,3,12,0.14,1,0
345,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,235,3,127,1.62,1,276
346,Charlottenburg-Wilm.,Halensee,Entire home/apt,38,30,1,0.05,9,67
347,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,54,60,44,0.54,1,176
348,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,30,2,142,1.8,1,27
349,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,31,90,4,0.14,1,159
350,Mitte,Brunnenstr. Süd,Entire home/apt,84,1,234,2.85,3,343
351,Pankow,Prenzlauer Berg Süd,Private room,45,2,76,0.98,2,30
352,Tempelhof - Schöneberg,Friedenau,Private room,43,2,47,0.63,1,339
353,Mitte,Brunnenstr. Süd,Entire home/apt,77,7,56,0.83,2,268
354,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,38,4,92,1.7,1,0
355,Tempelhof - Schöneberg,Friedenau,Entire home/apt,39,2,175,2.25,3,155
356,Tempelhof - Schöneberg,Friedenau,Entire home/apt,44,2,46,0.59,3,227
357,Mitte,Brunnenstr. Süd,Entire home/apt,149,1,126,1.55,3,347
358,Pankow,Prenzlauer Berg Ost,Entire home/apt,87,3,273,3.33,10,275
359,Pankow,Prenzlauer Berg Nord,Entire home/apt,95,3,253,3.09,10,265
360,Neukölln,Neuköllner Mitte/Zentrum,Private room,27,3,52,0.64,11,220
361,Neukölln,Neuköllner Mitte/Zentrum,Private room,27,3,56,0.69,11,352
362,Neukölln,Neuköllner Mitte/Zentrum,Private room,27,3,121,1.49,11,349
363,Neukölln,Neuköllner Mitte/Zentrum,Private room,27,3,147,1.84,11,341
364,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,36,3,197,2.56,11,248
365,Neukölln,Reuterstraße,Private room,30,3,1,0.06,2,0
366,Neukölln,Reuterstraße,Private room,30,4,1,0.06,2,0
367,Steglitz - Zehlendorf,Schloßstr.,Private room,55,3,27,0.35,1,73
368,Pankow,Pankow Zentrum,Private room,28,3,43,1.12,1,275
369,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,72,3,14,0.18,1,0
370,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,35,5,12,0.15,1,0
371,Pankow,Prenzlauer Berg Südwest,Private room,40,3,24,0.33,1,20
372,Pankow,Prenzlauer Berg Südwest,Entire home/apt,70,5,34,0.86,1,7
373,Pankow,Prenzlauer Berg Nord,Private room,48,2,8,0.1,1,258
374,Mitte,Brunnenstr. Süd,Entire home/apt,54,90,133,1.68,3,0
375,Pankow,Prenzlauer Berg Südwest,Entire home/apt,38,90,6,0.08,1,36
376,Mitte,Alexanderplatz,Entire home/apt,95,4,16,0.2,1,304
377,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,65,2,258,3.18,1,352
378,Pankow,Helmholtzplatz,Entire home/apt,65,10,87,1.08,1,323
379,Charlottenburg-Wilm.,Kurfürstendamm,Private room,49,2,43,0.56,1,190
380,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,60,1,138,2.42,2,314
381,Pankow,Prenzlauer Berg Südwest,Private room,70,2,141,1.89,2,247
382,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,48,30,4,0.1,1,307
383,Treptow - Köpenick,Alt  Treptow,Private room,50,6,77,0.95,1,0
384,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,35,2,81,1.01,2,0
385,Mitte,Alexanderplatz,Entire home/apt,65,5,19,0.27,1,0
386,Charlottenburg-Wilm.,Neue Kantstraße,Private room,29,10,38,0.48,1,286
387,Treptow - Köpenick,Altglienicke,Entire home/apt,74,6,5,0.1,1,352
388,Mitte,Moabit Ost,Entire home/apt,60,14,1,0.01,1,159
389,Pankow,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,48,2,108,1.69,1,252
390,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,59,3,58,0.73,1,4
391,Mitte,Regierungsviertel,Private room,36,2,65,1.02,7,23
392,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,39,2,231,2.95,1,109
393,Mitte,Brunnenstr. Süd,Entire home/apt,36,90,121,1.55,3,160
394,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,89,3,313,3.92,1,159
395,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,78,5,9,0.11,1,0
396,Pankow,Prenzlauer Berg Südwest,Private room,49,2,16,0.55,1,362
397,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,82,3,180,2.36,2,262
398,Mitte,Moabit West,Entire home/apt,33,62,19,0.25,3,0
399,Mitte,Moabit West,Entire home/apt,33,62,23,0.31,3,0
400,Mitte,Moabit West,Entire home/apt,33,62,10,0.15,3,0
401,Neukölln,Rixdorf,Entire home/apt,60,2,41,0.52,1,3
402,Steglitz - Zehlendorf,Ostpreußendamm,Entire home/apt,48,4,1,0.03,1,0
403,Pankow,Pankow Süd,Private room,40,4,54,0.68,1,363
404,Reinickendorf,Nord 1,Entire home/apt,45,30,12,0.16,1,0
405,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,25,3,75,0.94,1,328
406,Mitte,Brunnenstr. Süd,Private room,29,5,275,3.5,1,80
407,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,49,90,15,0.23,1,221
408,Neukölln,Reuterstraße,Entire home/apt,67,180,54,0.68,3,12
409,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,33,1,19,0.28,1,153
410,Pankow,Prenzlauer Berg Ost,Entire home/apt,65,180,34,0.45,3,1
411,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,80,20,15,0.19,1,58
412,Neukölln,Schillerpromenade,Entire home/apt,86,4,26,0.34,1,173
413,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,75,12,5,0.1,1,0
414,Steglitz - Zehlendorf,Schloßstr.,Private room,40,3,108,1.47,2,312
415,Neukölln,Schillerpromenade,Entire home/apt,51,60,139,1.78,2,147
416,Pankow,Helmholtzplatz,Entire home/apt,130,5,42,0.55,1,0
417,Pankow,Helmholtzplatz,Entire home/apt,80,4,10,0.54,1,310
418,Pankow,Prenzlauer Berg Südwest,Entire home/apt,99,3,148,1.95,1,216
419,Mitte,Alexanderplatz,Private room,180,2,12,0.15,1,365
420,Neukölln,Rixdorf,Private room,25,10,6,0.08,1,28
421,Neukölln,Rixdorf,Entire home/apt,50,3,11,0.14,1,0
422,Neukölln,Schillerpromenade,Entire home/apt,36,60,15,0.28,1,362
423,Mitte,Brunnenstr. Nord,Entire home/apt,39,90,9,0.18,2,155
424,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,64,3,32,0.6,1,68
425,Mitte,Alexanderplatz,Private room,100,3,51,0.65,1,0
426,Steglitz - Zehlendorf,Zehlendorf  Südwest,Entire home/apt,65,6,8,0.2,1,201
427,Mitte,Brunnenstr. Süd,Entire home/apt,70,2,115,4.49,2,140
428,Mitte,Brunnenstr. Süd,Entire home/apt,85,2,90,1.13,2,127
429,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,65,3,44,0.56,4,246
431,Mitte,Regierungsviertel,Private room,39,2,18,0.35,7,0
432,Pankow,Karow,Private room,22,2,28,0.5,1,330
433,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,51,2,86,1.1,1,339
434,Pankow,Prenzlauer Berg Süd,Private room,29,2,21,0.26,1,0
435,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,37,60,9,0.12,1,72
436,Reinickendorf,Nord 2,Entire home/apt,50,5,26,0.33,2,62
437,Charlottenburg-Wilm.,Westend,Private room,60,3,10,0.13,1,295
439,Pankow,Prenzlauer Berg Südwest,Private room,59,7,7,1.11,1,0
440,Pankow,Prenzlauer Berg Süd,Entire home/apt,56,180,19,0.32,3,0
441,Pankow,Helmholtzplatz,Entire home/apt,48,2,141,2.06,1,150
443,Pankow,Prenzlauer Berg Südwest,Entire home/apt,109,60,55,0.69,1,155
444,Mitte,Brunnenstr. Süd,Entire home/apt,130,5,6,0.09,1,252
445,Steglitz - Zehlendorf,Zehlendorf  Nord,Entire home/apt,90,2,13,0.17,1,339
446,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,83,2,211,2.77,1,254
447,Pankow,Karow,Entire home/apt,70,2,77,1.02,1,352
448,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,60,2,14,0.18,1,0
449,Pankow,Helmholtzplatz,Entire home/apt,209,2,10,0.13,2,5
450,Pankow,Prenzlauer Berg Südwest,Entire home/apt,70,4,9,0.11,1,0
451,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,44,3,27,0.34,1,18
452,Pankow,Prenzlauer Berg Südwest,Private room,34,3,75,1.75,1,0
453,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,30,1,17,0.22,2,243
454,Neukölln,Schillerpromenade,Private room,33,5,5,0.06,1,0
455,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,95,60,67,0.87,2,325
456,Mitte,Wedding Zentrum,Private room,35,2,111,1.42,1,286
457,Neukölln,Reuterstraße,Entire home/apt,47,30,14,0.25,1,50
458,Pankow,Helmholtzplatz,Entire home/apt,189,3,107,1.4,1,344
459,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,30,30,154,2.06,1,193
460,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,85,3,42,0.54,2,93
461,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,15,3,276,3.53,1,33
462,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,58,5,8,0.13,1,0
463,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,53,4,73,0.94,2,146
464,Mitte,Alexanderplatz,Private room,45,3,41,0.52,1,304
465,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,35,1,12,0.15,1,0
466,Neukölln,Schillerpromenade,Entire home/apt,65,3,76,0.98,1,304
467,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,65,3,57,0.74,1,284
468,Mitte,Alexanderplatz,Private room,44,3,168,2.19,1,341
469,Mitte,Alexanderplatz,Entire home/apt,125,1,234,6.43,2,359
470,Charlottenburg-Wilm.,Neue Kantstraße,Private room,45,1,16,0.21,1,0
471,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,50,7,3,0.04,1,0
472,Mitte,Brunnenstr. Süd,Entire home/apt,75,2,267,3.51,3,314
473,Mitte,Brunnenstr. Süd,Entire home/apt,75,2,227,3.04,3,324
474,Pankow,Prenzlauer Berg Südwest,Entire home/apt,73,4,152,2.14,2,0
475,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,39,7,5,0.08,1,0
476,Mitte,Brunnenstr. Süd,Entire home/apt,98,3,7,0.09,2,0
477,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,3,6,0.14,1,0
478,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,80,2,45,0.58,1,293
479,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,37,5,5,0.06,1,31
480,Pankow,Helmholtzplatz,Private room,35,5,47,1.12,1,308
481,Treptow - Köpenick,Alt  Treptow,Entire home/apt,50,7,2,0.05,1,0
482,Neukölln,Reuterstraße,Private room,35,5,10,0.5,1,7
483,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,235,4,51,0.67,2,347
484,Tempelhof - Schöneberg,Tempelhof,Entire home/apt,55,3,149,2.73,1,297
485,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,60,17,17,0.22,2,67
486,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,115,3,99,1.28,1,66
487,Pankow,Prenzlauer Berg Südwest,Private room,46,1,482,6.2,2,265
489,Treptow - Köpenick,Alt  Treptow,Entire home/apt,37,7,1,0.04,1,0
490,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,52,14,35,0.46,1,255
491,Pankow,Helmholtzplatz,Entire home/apt,99,2,61,0.79,2,269
492,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,Entire home/apt,51,3,5,0.22,1,282
493,Pankow,Prenzlauer Berg Süd,Entire home/apt,160,3,2,0.05,1,0
494,Mitte,Alexanderplatz,Entire home/apt,63,4,10,3.8,1,11
495,Neukölln,Rixdorf,Private room,49,1,255,3.42,2,37
496,Neukölln,Neuköllner Mitte/Zentrum,Private room,40,3,7,0.17,1,0
497,Mitte,Moabit West,Private room,90,3,90,1.17,2,153
498,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,64,1,192,2.53,1,312
499,Mitte,Alexanderplatz,Entire home/apt,100,4,44,0.59,1,214
500,Mitte,Wedding Zentrum,Entire home/apt,64,6,3,0.08,1,0
502,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,80,3,72,0.95,1,30
503,Pankow,Prenzlauer Berg Nord,Entire home/apt,38,150,3,0.04,1,153
504,Pankow,Helmholtzplatz,Entire home/apt,65,60,296,3.84,2,264
505,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,80,4,15,0.2,3,0
506,Steglitz - Zehlendorf,Albrechtstr.,Entire home/apt,80,4,3,0.05,3,0
507,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,68,2,166,2.16,1,219
508,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,99,2,2,0.03,4,0
509,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,40,3,37,0.48,1,62
510,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,38,2,26,1.55,2,313
511,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,70,30,3,0.04,1,159
512,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,85,3,8,0.35,1,0
513,Mitte,Wedding Zentrum,Entire home/apt,39,6,9,0.12,1,0
514,Pankow,Prenzlauer Berg Südwest,Entire home/apt,79,1,2,0.03,1,0
515,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,50,1,8,1.59,1,260
516,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,69,20,15,0.28,1,0
517,Treptow - Köpenick,Baumschulenweg,Entire home/apt,59,3,110,1.43,1,42
518,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,60,2,1,0.02,4,0
519,Mitte,Brunnenstr. Nord,Entire home/apt,120,3,5,0.07,1,248
520,Mitte,Alexanderplatz,Private room,50,1,2,1.82,1,0
521,Neukölln,Schillerpromenade,Entire home/apt,70,7,6,0.08,1,323
522,Pankow,Prenzlauer Berg Nordwest,Private room,30,1,10,0.13,1,0
523,Charlottenburg-Wilm.,Kurfürstendamm,Entire home/apt,75,3,29,0.67,2,329
524,Pankow,Prenzlauer Berg Nord,Entire home/apt,46,2,146,1.89,2,297
525,Neukölln,Rixdorf,Entire home/apt,60,10,15,0.28,1,0
526,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,75,3,18,1.28,2,12
527,Pankow,Helmholtzplatz,Private room,33,1,123,1.61,1,324
528,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,50,2,22,0.29,1,0
529,Spandau,Gatow / Kladow,Private room,49,2,50,0.7,1,273
530,Treptow - Köpenick,Johannisthal,Entire home/apt,50,30,35,0.46,1,341
531,Pankow,Prenzlauer Berg Südwest,Private room,46,1,418,5.49,2,249
532,Pankow,Prenzlauer Berg Süd,Private room,30,2,358,4.68,1,107
533,Mitte,Moabit West,Private room,120,2,6,0.17,1,0
534,Pankow,Prenzlauer Berg Südwest,Entire home/apt,48,3,6,0.08,1,0
535,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,15,1,2,0.06,1,0
536,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,65,2,38,0.51,2,0
537,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,23,93,76,1.04,1,109
538,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,45,7,24,0.34,1,30
539,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,76,4,117,1.52,3,284
540,Pankow,Prenzlauer Berg Südwest,Entire home/apt,70,3,37,0.5,1,0
541,Lichtenberg,Neu Lichtenberg,Entire home/apt,30,3,3,0.04,1,0
542,Neukölln,Rudow,Entire home/apt,50,3,24,0.42,2,342
543,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,22,2,357,4.65,1,247
544,Pankow,Prenzlauer Berg Nordwest,Private room,30,30,23,0.3,2,98
545,Mitte,Brunnenstr. Süd,Entire home/apt,45,2,7,0.09,1,0
546,Neukölln,Reuterstraße,Entire home/apt,100,3,103,1.34,1,184
547,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,50,2,46,0.6,2,0
548,Pankow,Prenzlauer Berg Süd,Private room,33,2,20,0.33,1,0
549,Neukölln,Rixdorf,Entire home/apt,55,60,86,1.13,1,289
550,Pankow,Prenzlauer Berg Südwest,Entire home/apt,48,60,36,0.47,2,321
551,Neukölln,Rudow,Entire home/apt,60,3,29,0.58,2,343
552,Charlottenburg-Wilm.,Wiesbadener Straße,Private room,25,3,25,0.33,2,143
553,Steglitz - Zehlendorf,Lankwitz,Entire home/apt,70,3,11,0.22,1,265
554,Neukölln,Schillerpromenade,Private room,50,3,5,0.07,1,0
555,Mitte,Moabit Ost,Entire home/apt,65,3,99,1.44,1,59
556,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,35,6,4,0.07,1,0
557,Mitte,Alexanderplatz,Entire home/apt,160,4,61,1.9,2,26
558,Charlottenburg-Wilm.,Halensee,Entire home/apt,140,4,43,1.39,2,69
559,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,70,14,3,0.04,2,0
560,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,70,2,9,0.35,1,0
561,Reinickendorf,Ost 2,Private room,31,1,19,0.26,3,364
562,Mitte,Brunnenstr. Süd,Entire home/apt,65,5,7,0.09,1,0
563,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,98,30,74,0.98,3,353
564,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,120,60,54,0.72,1,310
565,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,76,5,47,0.62,1,0
566,Mitte,Parkviertel,Entire home/apt,80,8,9,0.12,2,0
567,Mitte,Alexanderplatz,Private room,44,4,67,0.9,1,242
568,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,75,3,59,0.78,1,306
570,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,95,3,19,0.25,1,190
571,Neukölln,Reuterstraße,Entire home/apt,235,2,26,0.35,3,9
572,Mitte,Alexanderplatz,Entire home/apt,100,3,17,0.22,1,2
573,Lichtenberg,Alt-Hohenschönhausen Süd,Entire home/apt,37,2,116,2.71,1,341
574,Mitte,Alexanderplatz,Entire home/apt,62,1,276,3.63,1,114
575,Pankow,Prenzlauer Berg Ost,Entire home/apt,80,3,45,0.6,2,361
576,Neukölln,Reuterstraße,Entire home/apt,45,3,13,0.17,1,0
577,Pankow,Helmholtzplatz,Entire home/apt,60,6,30,0.4,1,0
578,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,36,3,49,0.65,1,0
579,Neukölln,Reuterstraße,Entire home/apt,85,3,44,0.66,1,0
580,Mitte,Alexanderplatz,Entire home/apt,55,93,110,1.63,1,217
581,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,2,7,0.11,1,0
582,Mitte,Brunnenstr. Nord,Private room,24,3,7,0.09,1,0
583,Reinickendorf,Ost 2,Private room,49,2,17,0.29,3,0
584,Treptow - Köpenick,Alt  Treptow,Entire home/apt,99,3,29,0.54,1,331
585,Mitte,Brunnenstr. Süd,Entire home/apt,100,4,9,0.12,1,0
586,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,35,2,10,0.26,4,5
587,Pankow,Prenzlauer Berg Südwest,Private room,30,6,52,0.69,1,9
588,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,109,5,13,0.17,1,0
589,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,34,3,34,0.46,1,13
590,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,35,5,2,0.03,1,0
591,Pankow,Prenzlauer Berg Südwest,Private room,102,1,150,1.99,1,325
592,Neukölln,Reuterstraße,Private room,29,4,2,0.04,1,0
593,Neukölln,Reuterstraße,Entire home/apt,69,2,15,0.2,1,67
596,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,45,3,79,1.27,1,346
597,Neukölln,Neuköllner Mitte/Zentrum,Private room,19,1,66,0.87,1,0
598,Pankow,Helmholtzplatz,Entire home/apt,85,4,10,0.14,3,0
599,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,39,2,42,1.66,1,90
600,Mitte,Brunnenstr. Süd,Entire home/apt,89,2,69,0.91,1,1
601,Neukölln,Schillerpromenade,Entire home/apt,40,4,1,0.07,1,0
603,Pankow,Helmholtzplatz,Entire home/apt,65,4,2,0.03,1,0
604,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,45,7,4,0.05,1,0
606,Pankow,Prenzlauer Berg Südwest,Private room,43,1,459,6.08,3,271
607,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,95,4,66,0.89,1,22
608,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,50,14,106,1.64,1,80
610,Pankow,Helmholtzplatz,Entire home/apt,69,4,139,1.95,1,7
611,Pankow,Weißensee,Private room,27,3,87,1.17,1,128
612,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,39,15,3,0.08,1,0
613,Pankow,Prenzlauer Berg Süd,Entire home/apt,120,5,24,0.32,1,20
614,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,35,2,122,1.62,1,362
615,Mitte,Moabit Ost,Entire home/apt,75,61,55,0.74,2,108
616,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,80,2,5,0.07,1,0
617,Charlottenburg-Wilm.,Kantstraße,Private room,40,14,12,0.16,3,0
618,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,200,3,10,0.2,2,0
619,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,50,65,31,0.49,1,253
620,Neukölln,Reuterstraße,Private room,25,1,5,0.12,1,0
621,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,78,2,16,0.22,1,310
622,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,37,3,47,0.63,1,59
623,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,75,1,18,0.27,2,0
624,Neukölln,Reuterstraße,Private room,50,5,24,0.34,1,309
625,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,33,1,39,0.53,2,0
626,Mitte,Alexanderplatz,Entire home/apt,208,6,5,0.18,1,0
627,Pankow,Prenzlauer Berg Süd,Entire home/apt,80,10,5,0.07,2,88
628,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Private room,45,1,104,2.09,1,227
629,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,68,2,38,0.6,1,0
630,Pankow,Prenzlauer Berg Ost,Private room,20,2,97,1.29,1,0
631,Neukölln,Schillerpromenade,Entire home/apt,35,10,4,0.05,1,0
632,Mitte,Brunnenstr. Süd,Entire home/apt,79,3,62,1.17,2,335
633,Mitte,Moabit Ost,Entire home/apt,44,4,50,0.99,2,234
635,Pankow,Prenzlauer Berg Süd,Entire home/apt,50,2,19,0.26,1,0
636,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,78,2,20,0.38,1,2
638,Mitte,Moabit Ost,Entire home/apt,95,3,6,0.09,1,0
639,Neukölln,Schillerpromenade,Private room,55,4,35,0.47,1,0
640,Mitte,Tiergarten Süd,Entire home/apt,125,3,171,2.4,1,241
641,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,78,3,106,2.0,1,50
642,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,55,4,4,0.25,1,0
643,Pankow,Weißensee Ost,Private room,34,2,100,1.36,1,218
644,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,100,4,2,0.03,1,0
645,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,35,3,170,2.33,1,0
646,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,59,3,9,0.16,1,298
647,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,100,10,18,0.25,4,5
648,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,38,62,173,2.34,2,289
649,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,195,3,77,1.14,2,180
650,Lichtenberg,Alt-Hohenschönhausen Nord,Private room,35,2,32,0.61,4,329
651,Mitte,Brunnenstr. Süd,Private room,80,3,8,0.13,1,0
652,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,75,2,197,2.67,1,301
653,Steglitz - Zehlendorf,Albrechtstr.,Entire home/apt,100,2,49,0.72,1,247
654,Tempelhof - Schöneberg,Friedenau,Entire home/apt,38,1,1,0.03,1,0
655,Mitte,Brunnenstr. Nord,Entire home/apt,73,4,12,0.16,1,0
656,Pankow,Helmholtzplatz,Entire home/apt,70,16,14,0.2,1,251
657,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,45,3,123,1.67,1,54
658,Mitte,Regierungsviertel,Private room,55,2,358,4.82,2,338
659,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,160,3,68,1.24,1,45
662,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,80,3,61,0.83,1,14
